20240417	10:50:35	a394c69f-e44c-4d05-a70f-9818d3e70bc0	GET	undefined	/
20240417	10:50:35	f36795a8-ca32-43b3-ba24-7ba9d5c83c91	GET	undefined	/css/style.css
20240417	10:50:38	81543b19-bbb8-4f5f-8902-716c9269d342	GET	undefined	/employees
20240417	10:50:56	cf985913-878e-41ff-9ffe-153cc746cdb1	GET	undefined	/employees
20240417	10:51:31	2da612dd-bc6b-42a4-865d-e2b159de00d6	GET	undefined	/employees
20240417	10:52:21	d0b25ae5-ab52-45b6-b400-5cce845fb7e0	POST	undefined	/employees
20240417	10:52:51	b98e54f7-6a67-4cf1-beef-1fa9ac243a06	POST	undefined	/employees
20240417	10:53:53	2f77efd2-e70f-4580-bcae-0bd4c7f7a949	PUT	undefined	/employees
20240417	10:54:28	bce82af5-c004-4ca7-87ca-b207f308b5bf	DELETE	undefined	/employees
20240417	10:54:43	81007130-8d70-440c-8361-e92823957182	GET	undefined	/employees/2
20240418	10:39:25	e3752206-d63a-4e5c-9ea8-ae38dee2083d	GET	undefined	/
20240418	10:39:25	c366870f-4218-40fa-a34a-b3510fc60635	GET	undefined	/css/style.css
20240418	10:39:25	58b6879d-f3a3-4bce-8381-27855fa36ece	GET	undefined	/favicon.ico
20240418	10:41:20	90d11f2d-6fa3-43ca-8660-91457d8abcfe	GET	undefined	/register
20240418	10:41:25	6904a135-f0e8-4766-a58d-5c927656c0ba	GET	undefined	/register
20240418	10:41:25	b7e2e9f0-1177-4a70-87e2-ce302d28a314	GET	undefined	/css/style.css
20240418	10:41:42	5ba7e272-8987-4947-b084-645f557aca4a	GET	undefined	/register
20240418	10:41:43	c4235035-1326-40c6-8c6c-5988e66e20e3	GET	undefined	/css/style.css
20240418	10:43:04	9b1813e0-ca67-4f60-899a-a5d940f67f7c	POST	undefined	/register
20240418	10:47:43	67fff93f-bf25-4c7d-8b84-c1c9e7bc0208	POST	undefined	/register
20240418	11:02:26	4305ba4f-eef6-4216-8913-4108279aae4d	POST	undefined	/auth
20240418	11:02:55	1c057d3f-381e-4b9d-a840-05d1d60f1b8d	POST	undefined	/auth
20240418	11:03:09	bde7c7bf-2be2-4fd7-8523-c43bcd269b31	POST	undefined	/auth
20240418	11:03:45	cb141c55-9d8c-455c-810c-712e3ebae5a8	POST	undefined	/register
20240418	11:03:53	732fca93-580b-4328-9792-10e5d29906de	POST	undefined	/register
20240418	11:04:40	27472e1d-c9d5-4d04-8819-0776332aba44	POST	undefined	/register
20240418	11:05:19	13ac6ed3-36c0-475c-a73c-5f051f86606b	POST	undefined	/register
20240418	11:05:25	2644d495-79ad-4ecb-a4b3-2388a61cfc62	POST	undefined	/register
